family,gt,pred,matched,precision,recall,f1
body landed,12,2,0,0.0,0.0,0.0
head landed,124,133,47,0.35338345864661654,0.37903225806451613,0.3657587548638132
blocked,65,28,9,0.32142857142857145,0.13846153846153847,0.1935483870967742
missed,267,316,156,0.4936708860759494,0.5842696629213483,0.5351632281731309
