bout,duration_min_in_round,gt_events,proposals,matched,false_proposals,missed_gt,gt_per_min,proposals_per_min,false_proposals_per_min
115,9.614444444444445,468,437,353,84,115,48.67675950537386,45.45244423899226,8.736854270195307
116,9.41388888888889,329,410,243,167,86,34.94836234877545,43.552670404249035,17.739746237828268
117,9.719444444444443,555,498,406,92,149,57.10202915118606,51.23749642755074,9.465561589025437
120,9.458333333333334,294,345,218,127,76,31.08370044052863,36.47577092511013,13.427312775330396
121,9.624444444444444,386,342,227,115,159,40.106211036712075,35.534518586931426,11.94874163010852
122,9.630555555555556,362,415,225,190,137,37.58869339486588,43.09201038361696,19.72887222382463
