normalization,fusion,best_val_f1,best_train_f1
rank,median,0.5900846432889965,0.6965536564864107
rank,mean,0.5894465894465895,0.7021209243431464
raw,top2_mean,0.5739348370927319,0.62784
rank,top2_mean,0.5677867902665121,0.6852776961504554
raw,median,0.5575364667747164,0.6428341384863124
rank,max,0.5538847117794486,0.6567164179104477
raw,mean,0.5525040387722132,0.6429819452533487
raw,max,0.5454545454545455,0.6113185866130423
