views,n_requested_views,n_views,precision,recall,f1,n_pred,n_gt,removed_view,delta_vs_all4
012,3,2,0.7306889352818372,0.7478632478632479,0.7391763463569166,479,468,3,-0.04093415088065233
013,3,2,0.7526652452025586,0.7542735042735043,0.7534685165421559,469,468,2,-0.026641980695413126
023,3,2,0.7463312368972747,0.7606837606837606,0.7534391534391534,477,468,1,-0.026671343798415625
123,3,3,0.8077803203661327,0.7542735042735043,0.780110497237569,437,468,0,0.0
