n_views,f1_mean,f1_min,f1_max,precision_mean,recall_mean
1,0.660819987242585,0.6122792262405382,0.7023041474654379,0.5676000203914817,0.7927350427350427
2,0.7486946721127419,0.7391763463569166,0.7534685165421559,0.7432284724605568,0.7542735042735043
3,0.780110497237569,0.780110497237569,0.780110497237569,0.8077803203661327,0.7542735042735043
