radius,precision,recall,f1,matched,missed,false
2,0.7620137299771167,0.7115384615384616,0.7359116022099448,333,135,104
4,0.7940503432494279,0.7414529914529915,0.7668508287292819,347,121,90
6,0.8077803203661327,0.7542735042735043,0.780110497237569,353,115,84
8,0.816933638443936,0.7628205128205128,0.7889502762430939,357,111,80
10,0.8283752860411899,0.7735042735042735,0.7999999999999999,362,106,75
12,0.8306636155606407,0.7756410256410257,0.8022099447513812,363,105,74
15,0.8329519450800915,0.7777777777777778,0.8044198895027624,364,104,73
20,0.8375286041189931,0.782051282051282,0.8088397790055247,366,102,71
